matchnum,queue,result,duration,champion,spell1,spell2,keystone,rune,kills,deaths,assists,level,csscore,killpct,class
263,Normal Blind,VICTORY,36:21,GAREN,Flash,Heal,Grasp of the Undying,Sorcery,7,6,9,15,92,43%,Fighter
264,ARAM,VICTORY,17:17,PANTHEON,Mark,Flash,Grasp of the Undying,Sorcery,8,8,23,17,22,76%,Fighter
265,ARAM,VICTORY,17:21,VELKOZ,Heal,Flash,Arcane Comet,Precision,6,1,20,17,34,72%,Mage
266,ARAM,DEFEAT,19:33,ZILEAN,Clarity,Flash,Summon Aery,Inspiration,9,7,31,18,51,93%,Support
267,ARAM,DEFEAT,25:29,ZIGGS,Clarity,Flash,Arcane Comet,Domination,10,8,20,18,66,61%,Mage
268,ARAM,DEFEAT,18:16,TWITCH,Heal,Flash,Lethal Tempo,Domination,3,9,9,15,49,55%,Marksman
269,ARAM,VICTORY,15:16,SONA,Heal,Flash,Summon Aery,Inspiration,4,4,29,15,23,94%,Support
270,ARAM,VICTORY,35:01,VARUS,Heal,Flash,Press the Attack,Domination,23,10,38,18,173,78%,Marksman
271,ARAM,VICTORY,25:53,BRAND,Heal,Flash,Arcane Comet,Resolve,12,11,35,18,40,77%,Mage
272,ARAM,VICTORY,17:09,TWITCH,Heal,Flash,Press the Attack,Domination,13,7,15,16,56,72%,Marksman
273,ARAM,DEFEAT,17:40,TWISTEDFATE,Heal,Flash,Arcane Comet,Domination,6,8,18,17,73,67%,Mage
274,ARAM,DEFEAT,21:26,AURELIONSOL,Heal,Flash,Conqueror,Domination,7,10,30,18,102,84%,Mage
275,ARAM,DEFEAT,13:51,TWITCH,Heal,Flash,Lethal Tempo,Sorcery,5,6,18,14,26,82%,Marksman
276,URF,DEFEAT,18:45,ASHE,Ignite,Flash,Conqueror,Domination,8,11,8,17,76,41%,Marksman
277,URF,VICTORY,21:13,TWISTEDFATE,Ignite,Flash,Arcane Comet,Domination,9,9,12,17,98,36%,Mage
278,URF,DEFEAT,14:38,ZILEAN,Ignite,Flash,Arcane Comet,Precision,3,8,9,12,58,50%,Support
279,ARAM,DEFEAT,17:08,RYZE,Heal,Flash,Summon Aery,Precision,6,10,9,15,27,43%,Mage
280,ARAM,DEFEAT,15:14,GAREN,Flash,Mark,Grasp of the Undying,Sorcery,5,9,9,14,10,67%,Fighter
281,ARAM,VICTORY,18:36,RAMMUS,Flash,Mark,Grasp of the Undying,Sorcery,2,9,21,16,15,56%,Tank
282,ARAM,VICTORY,27:20,MASTERYI,Flash,Mark,Press the Attack,Domination,12,16,24,18,54,65%,Assassin
283,ARAM,DEFEAT,15:58,YUUMI,Exhaust,Flash,Summon Aery,Precision,0,5,16,15,4,70%,Support
284,ARAM,VICTORY,16:08,ZILEAN,Heal,Flash,Summon Aery,Inspiration,1,6,24,15,46,71%,Support
285,ARAM,DEFEAT,15:58,YUUMI,Exhaust,Flash,Summon Aery,Precision,0,5,16,15,4,70%,Support
286,URF,DEFEAT,13:32,AMUMU,Exhaust,Flash,Grasp of the Undying,Sorcery,1,9,9,6,16,24%,Tank
287,ARAM,VICTORY,14:55,VARUS,Heal,Flash,Dark Harvest,Precision,14,5,22,15,34,84%,Marksman
288,ARAM,DEFEAT,24:07,CORKI,Heal,Flash,Press the Attack,Domination,13,8,21,18,73,87%,Marksman
289,URF,VICTORY,18:28,AMUMU,Ignite,Flash,Grasp of the Undying,Sorcery,2,12,16,15,50,33%,Tank
290,URF,DEFEAT,15:08,SIVIR,Ignite,Flash,Dark Harvest,Precision,20,11,10,14,98,64%,Marksman
291,URF,DEFEAT,20:16,ZIGGS,Ignite,Flash,Arcane Comet,Domination,11,11,13,17,107,53%,Mage
292,URF,DEFEAT,13:41,TWISTEDFATE,Ignite,Flash,Dark Harvest,Sorcery,4,8,5,13,75,27%,Mage
293,URF,DEFEAT,14:38,LUX,Heal,Flash,Dark Harvest,Precision,3,5,3,12,61,38%,Mage
294,URF,DEFEAT,20:25,KARTHUS,Heal,Flash,Electrocute,Precision,5,16,17,17,64,51%,Mage
295,URF,VICTORY,19:58,SIVIR,Heal,Flash,Dark Harvest,Precision,11,6,17,18,136,44%,Marksman
296,URF,DEFEAT,13:32,AMUMU,Exhaust,Flash,Grasp of the Undying,Sorcery,1,9,9,6,16,24%,Tank
297,URF,VICTORY,11:28,GAREN,Ignite,Flash,Electrocute,Precision,3,5,6,11,23,18%,Fighter
298,ARAM,VICTORY,21:24,LUX,Clarity,Flash,Summon Aery,Domination,14,6,24,18,59,72%,Mage
